Phase;Process;Process.Def;Activities;Activities.Def;Tasks;Tasks.Def
CO-MANUFACTURING PROCESS;Orde Preparation;The “Order preparation” process must inform the supplier of the raw material requirements;Pick materials according to the order preparation instructions;The “Pick materials” activity must extract raw material according to the order preparation instructions (quantity, type…);NA;NA
CO-MANUFACTURING PROCESS;Orde Preparation;The “Order preparation” process must inform the supplier of the raw material requirements;Ship the package;The “Ship the package” activity must characterize the movement of the package from one location to another in a same place.;NA;NA
CO-MANUFACTURING PROCESS;Orde Preparation;The “Order preparation” process must inform the supplier of the raw material requirements;Transport goods to the shipping areas;The “Transport goods to the shipping areas” must allow the transfer of a product/component from one place to another;NA;NA
CO-MANUFACTURING PROCESS;Orde Preparation;The “Order preparation” process must inform the supplier of the raw material requirements;Inform the order tracking and transmit a status of product;The “Inform the order tracking and transmit a status of product” activity must notify the customer of the order progress ;NA;NA
CO-MANUFACTURING PROCESS;Assembly;The “Assembly” process must to combine all the elements of the product to obtain the finished product;Identify assembly operations from instruction;The “Identify assembly operations” activity must describe the different assembly steps from the production instruction;NA;NA
CO-MANUFACTURING PROCESS;Assembly;The “Assembly” process must to combine all the elements of the product to obtain the finished product;Position the part preliminary;The “Position the part preliminary” activity must allow each part of the assembly to be positioned prior to attachment;NA;NA
CO-MANUFACTURING PROCESS;Assembly;The “Assembly” process must to combine all the elements of the product to obtain the finished product;Assembly and fix the elements in the order of assembly;The “Assembly and fix the elements” activity must allow to obtain an assembly of the elements of the product by following the order of assembly;NA;NA
CO-MANUFACTURING PROCESS;Assembly;The “Assembly” process must to combine all the elements of the product to obtain the finished product;Assembly the product;The “Assembly the product” activity must allow to obtain the finished product;NA;NA
CO-MANUFACTURING PROCESS;Assembly;The “Assembly” process must to combine all the elements of the product to obtain the finished product;Check the conformity and make adjustments;The “Check the conformity and make adjustments” activity must allow to correct defects in the finished product;NA;NA
CO-MANUFACTURING PROCESS;Assembly;The “Assembly” process must to combine all the elements of the product to obtain the finished product;Carry out an activity follow-up;The “Carry out an activity follow up” activity must inform the user about the status of the product ;NA;NA
CO-MANUFACTURING PROCESS;Failure detection;The “Failure detection” process must allow to notice a problem with the product;Identify the defective part or components;The “Identify the defective part of components” activity must allow to determine the cause of a problem in the use of the product;NA;NA
CO-MANUFACTURING PROCESS;Failure detection;The “Failure detection” process must allow to notice a problem with the product;Identify whether repair is feasible;The “Identify whether repair is feasible” activity must help the users to find a solution;NA;NA
CO-MANUFACTURING PROCESS;Maintenance;The “Maintenance” process must allow the repair of the defective part;Identify the defective part or components;The “Identify part or components” activity must validate the user’s diagnosis;NA;NA
CO-MANUFACTURING PROCESS;Maintenance;The “Maintenance” process must allow the repair of the defective part;Draw up an estimate;The “Draw up an estimate” activity must inform the user about the reparation cost;NA;NA
CO-MANUFACTURING PROCESS;Maintenance;The “Maintenance” process must allow the repair of the defective part;Determine a response time;The “Determine a response time” activity must inform the user about the response time;NA;NA
CO-MANUFACTURING PROCESS;Maintenance;The “Maintenance” process must allow the repair of the defective part;Define supply requirements;The “Define supply requirements” activity must determine the supply needs to make the reparation;NA;NA
CO-MANUFACTURING PROCESS;Maintenance;The “Maintenance” process must allow the repair of the defective part;Replace or repair the defective part;The “Replace or repair the defective part” activity must provide a solution of the user’s problem;NA;NA
CO-MANUFACTURING PROCESS;Maintenance;The “Maintenance” process must allow the repair of the defective part;Check the operating status of the product;The “Check the operating status of the product” must inform the user of the status of the product;NA;NA
CO-MANUFACTURING PROCESS;Recycle;The “Recycle” process must to find solution to reuse the product or its components, material;Identify the type of materials of the damaged parts;The “Identify the type of materials of the damaged parts” activity must allow the material future;NA;NA
CO-MANUFACTURING PROCESS;Recycle;The “Recycle” process must to find solution to reuse the product or its components, material;Sort and direct defective parts to disposal area;The “Sort and direct defective parts to disposal area” activity must to sort the non-recyclable part of the product towards the suitable area;NA;NA
CO-MANUFACTURING PROCESS;Recycle;The “Recycle” process must to find solution to reuse the product or its components, material;Sort and direct defective parts to recycle;The “Sort and direct defective parts to recycle” activity must to sort the recyclable part of the product towards the suitable area;NA;NA
