Function;Sub-function;Criterion;Recovery;Preparation;Compounding;Feedstock;Printing;Quality;Plateform
PF3: Produce a customized product for users with the help of other specialized stakeholders;PF3.9 The demonstrator must inform the supplier of the raw material requirements (WP2.2: 15_Order preparation process);PF3.9.2 The demonstrator must characterize the movement of the package from one location to another in a same place. (WP2.2: 15_2 Ship the package);;;;;;;Yes
PF3: Produce a customized product for users with the help of other specialized stakeholders;PF3.9 The demonstrator must inform the supplier of the raw material requirements (WP2.2: 15_Order preparation process);PF3.9.3 The demonstrator must allow the transfer of a product/component from one place to another (WP2.2: 15_3 Transport goods to the shipping areas);;;;;;;Yes
PF3: Produce a customized product for users with the help of other specialized stakeholders;PF3.10 The demonstrator must combine all the elements of the product to obtain the finished product (WP2.2: 16_Assembly process);PF3.10.1 The demonstrator must describe the different assembly steps from the production instruction (WP2.2: 16_1 Identify assembly operations);;;;;;Yes;Yes
PF3: Produce a customized product for users with the help of other specialized stakeholders;PF3.10 The demonstrator must combine all the elements of the product to obtain the finished product (WP2.2: 16_Assembly process);PF3.10.2 The demonstrator must allow each part of the assembly to be positioned prior to attachment (WP2.2: 16_2 Position the part preliminary);;;;;;;Yes
PF4: Produce in network with other stakeholders using the platform;PF 4.1 The facilities of the demonstrator must receive the production order from the platform;PF4.1.1 The facilities of the demonstrator must receive the specifications of the product/component to be manufactured;;;;;;;Yes
PF4: Produce in network with other stakeholders using the platform;PF 4.1 The facilities of the demonstrator must receive the production order from the platform;PF4.1.2 The facilities of the demonstrator must receive information about the order (quantity, delay...);;;;;;;Yes
PF4: Produce in network with other stakeholders using the platform;PF 4.1 The facilities of the demonstrator must receive the production order from the platform;PF4.1.3 The facilities of the demonstrator must receive information about product/component deliveries;;;;;;;Yes
PF4: Produce in network with other stakeholders using the platform;PF4.2 The facilities of the demonstrator must carry out the tasks allocated by the platform;PF4.2.1 The facilities of the demonstrator must carry out the tasks allocated by the platform according to their specialities (skills, technologies, processes, etc.).;;;;;;;Yes
PF4: Produce in network with other stakeholders using the platform;PF4.2 The facilities of the demonstrator must carry out the tasks allocated by the platform;PF4.2.2 The facilities of the demonstrator must carry out the tasks allocated by the platform according to their location.;;;;;;;Yes
PF4: Produce in network with other stakeholders using the platform;PF4.2 The facilities of the demonstrator must carry out the tasks allocated by the platform;PF4.2.3 The facilities of the demonstrator must carry out the tasks allocated by the platform according to their production capacity;;;;;;;Yes
PF4: Produce in network with other stakeholders using the platform;PF4.3 The facilities of the demonstrator must exchange with the others stakeholders involved in the product manufacture through the platform;PF4.3.1 The facilities of the demonstrator must communicate about their needs in materials or components;Yes;Yes;Yes;Yes;Yes;;
PF4: Produce in network with other stakeholders using the platform;PF4.3 The facilities of the demonstrator must exchange with the others stakeholders involved in the product manufacture through the platform;PF4.3.2 The facilities of the demonstrator must communicate about their production progress;;;;;;;Yes
PF4: Produce in network with other stakeholders using the platform;PF4.3 The facilities of the demonstrator must exchange with the others stakeholders involved in the product manufacture through the platform;PF4.3.3 The facilities of the demonstrator must share their sustainable practices;;;;;;;Yes
PF4: Produce in network with other stakeholders using the platform;PF4.4 The facilities of the demonstrator must exchange with the users through the platform;PF4.4.1 The facilities of the demonstrator must communicate any change in the product specification;;;;;Yes;Yes;
PF4: Produce in network with other stakeholders using the platform;PF4.4 The facilities of the demonstrator must exchange with the users through the platform;PF4.4.2 The facilities of the demonstrator must communicate about their production progress;;;;;Yes;Yes;
PF4: Produce in network with other stakeholders using the platform;PF4.4 The facilities of the demonstrator must exchange with the users through the platform;PF4.4.3 The facilities of the demonstrator must communicate about deliveries and delays;;;;;;;Yes
PF5: Provide services to users through the platform;PF5.1 The demonstrator should facilitate product customization;PF5.1.1The demonstrator must identify the possibilities of customization according to the chosen raw materials.;;;;;Yes;;Yes
PF5: Provide services to users through the platform;PF5.1 The demonstrator should facilitate product customization;PF5.1.2 The demonstrator must identify the possibilities of customization according to the preferred technologies.;;;;;Yes;;
PF5: Provide services to users through the platform;PF5.3 The demonstrator must support users in the recycling and repair of their products.;PF5.3.1The demonstrator must provide information on the recyclability and repairability of the product's parts.;;;;;Yes;;
PF5: Provide services to users through the platform;PF5.3 The demonstrator must support users in the recycling and repair of their products.;PF5.3.2 The demonstrator must identify the stakeholders involved in recycling and repair on the territory.;Yes;;;;;;
PF5: Provide services to users through the platform;PF5.4 The demonstrator must mobilize experts to meet customer requirements.;PF5.4.1 The demonstrator must identify the expertise required to support users;;;;;;;Yes
PF5: Provide services to users through the platform;PF5.4 The demonstrator must mobilize experts to meet customer requirements.;PF5.4.2 The demonstrator must know the skills of the experts.;;;;;;;Yes
PF5: Provide services to users through the platform;PF5.4 The demonstrator must mobilize experts to meet customer requirements.;PF5.4.3 The demonstrator must inform of a need for support by the appropriate experts.;;;;;;;Yes
SF1: Provide manufacturing data (means of production, production capacity, location, delays…) to the platform;SF1.1 The facilities of the demonstrator must share the basic data of its production system.;SF1.1.3 The facilities of the demonstrator must inform of its means of production;;;;;Yes;;
SF1: Provide manufacturing data (means of production, production capacity, location, delays…) to the platform;SF1.2 The facilities of the demonstrator must share activity data.;SF1.2.2 The facilities of the demonstrator must inform of its customer orders;;;;;;;Yes
SF1: Provide manufacturing data (means of production, production capacity, location, delays…) to the platform;SF1.2 The facilities of the demonstrator must share activity data.;SF1.2.3 The facilities of the demonstrator must inform of its production capabilities;;;;;Yes;;Yes
SF1: Provide manufacturing data (means of production, production capacity, location, delays…) to the platform;SF1.2 The facilities of the demonstrator must share activity data.;SF1.2.4 The facilities of the demonstrator must inform of its deadlines;;;;;;;Yes
SF1: Provide manufacturing data (means of production, production capacity, location, delays…) to the platform;SF1.3 The facilities of the demonstrator must share general data;SF1.3.1 The facilities of the demonstrator must inform about their localisation;;;;;;;Yes
SF1: Provide manufacturing data (means of production, production capacity, location, delays…) to the platform;SF1.3 The facilities of the demonstrator must share general data;SF1.3.2 The facilities of the demonstrator must inform about financial cost of their activities;;;;;;;Yes
SF2: Share environmental practices to the other stakeholders;SF2.1 The facilities of the demonstrator must identify and formalize environmental practices;SF2.1.1 The facilities of the demonstrator must identify and formalize their eco-design practices for their products and packaging.;;;;;Yes;Yes;
SF2: Share environmental practices to the other stakeholders;SF2.1 The facilities of the demonstrator must identify and formalize environmental practices;SF2.1.4 The facilities of the demonstrator should identify and formalize their waste sorting and recycling practices.;Yes;Yes;;;Yes;;
SF2: Share environmental practices to the other stakeholders;SF2.2 The facilities of the demonstrator must share environmental practices (concrete actions);SF2.2.1 The facilities of the demonstrator must share their eco-design practices for their products and packaging.;Yes;Yes;;;;;
SF2: Share environmental practices to the other stakeholders;SF2.2 The facilities of the demonstrator must share environmental practices (concrete actions);SF2.2.4 The facilities of the demonstrator should share their waste sorting and recycling practices.;Yes;Yes;;;;;
SF2: Share environmental practices to the other stakeholders;SF2.3 The facilities of the demonstrator must share environmental initiatives (in progress project);SF2.3.1 The facilities of the demonstrator must share their eco-design initiatives for their products and packaging.;Yes;Yes;;;;;
SF2: Share environmental practices to the other stakeholders;SF2.3 The facilities of the demonstrator must share environmental initiatives (in progress project);SF2.3.4 The facilities of the demonstrator should share their waste sorting and recycling initiatives.;Yes;Yes;;;;;
SF3: Share manufacturing data for design to the users;SF3.1 The demonstrator must inform about the industrial feasibility of the solution.;SF3.1.1 The demonstrator must be aware of the technical constraints of the technologies;;;;;Yes;Yes;
SF3: Share manufacturing data for design to the users;SF3.2 The demonstrator must provide technical expertise on the materials and technologies being considered.;SF3.2.1 The demonstrator must propose technical solutions that can be achieved by its technologies;;;;;Yes;;
SF3: Share manufacturing data for design to the users;SF3.2 The demonstrator must provide technical expertise on the materials and technologies being considered.;SF3.2.2 The demonstrator must advise the user on materials suitable for his chosen technology and their requirements;;;;;;Yes;Yes
SF3: Share manufacturing data for design to the users;SF3.3 The demonstrator must inform about the recyclability of the product.;SF3.3.1 The demonstrator shall inform users of the conditions for recycling parts of the product.;;;;;;Yes;
SF3: Share manufacturing data for design to the users;SF3.4 The demonstrator must inform about the environmental impact of the product.;SF3.4.1 The demonstrator must assess the environmental impact of the product;;;;;Yes;;
SF3: Share manufacturing data for design to the users;SF3.5 The demonstrator must inform about the possibilities of customisation;SF3.5.1 The demonstrator must identify their customization solutions;;;;;;;Yes
SF4: Insert into the territory;SF4.1: Demonstrator facilities must participate in local economic dynamics;SF4.1.1 Demonstrator facilities should strengthen and enhance employment potential (job creation and emergence of new trades);;;;;;;Yes
SF4: Insert into the territory;SF4.1: Demonstrator facilities must participate in local economic dynamics;SF4.1.2 Demonstrator facilities shall support human capital development;;;;;;;Yes
SF4: Insert into the territory;SF4.2: Demonstrator facilities should enhance environmental efficiency and resilience;SF4.2.1 Demonstrator facilities shall implement the principles and strategies of circular economy;Yes;Yes;;;;;
SF4: Insert into the territory;SF4.2: Demonstrator facilities should enhance environmental efficiency and resilience;SF4.2.3 Demonstrator facilities must promote responsible production and consumption processes;;;;;Yes;;
SF4: Insert into the territory;SF4.2: Demonstrator facilities should enhance environmental efficiency and resilience;SF4.2.4 Demonstrator facilities should reduce greenhouse gas emissions and anticipate the effects of climate change;Yes;;;;;;
SF4: Insert into the territory;SF4.4 Demonstrator facilities should contribute to social welfare and risk prevention;SF4.4.3 Demonstrator facilities should promote a health-promoting attitude and prevent and risks;;;;;;;Yes
SF4: Insert into the territory;SF4.5: Demonstrator facilities should participate in the creation of stakeholder networks;SF4.5.1 Demonstrator facilities should develop synergies with local stakeholders;Yes;;;;Yes;;
SF4: Insert into the territory;SF4.5: Demonstrator facilities should participate in the creation of stakeholder networks;SF4.5.2 Demonstrator facilities should participate in the development of new forms of collaboration with local stakeholders;Yes;;;;Yes;;
SF4: Insert into the territory;SF4.5: Demonstrator facilities should participate in the creation of stakeholder networks;SF4.5.3 The demonstrator’s facilities must contribute to the implementation of shared management around collective projects;;;;;;;Yes
SF4: Insert into the territory;SF4.5: Demonstrator facilities should participate in the creation of stakeholder networks;SF4.5.4 The demonstrator facilities should strengthen the connection with the surrounding territories;Yes;;;;;;
SF4: Insert into the territory;SF4.6: Demonstrator facilities should contribute to the attractiveness of the territory;SF4.6.1 The demonstrator’s facilities should enhance the technological and scientific visibility of the territory;Yes;;;;Yes;;Yes
SF4: Insert into the territory;SF4.6: Demonstrator facilities should contribute to the attractiveness of the territory;SF4.6.2 Demonstrator facilities must promote the attractiveness of skilled workers;;;Yes;Yes;Yes;;Yes
SF4: Insert into the territory;SF4.6: Demonstrator facilities should contribute to the attractiveness of the territory;SF4.6.3 Demonstrator facilities should be a territorial marketing asset;Yes;Yes;Yes;Yes;Yes;;
CF1: Adjust to the pillars of the circular economy;CF1.1 The demonstrator must implement a recycling strategy.;CF1.1.1 The demonstrator must seek to increase the life cycle of materials considered as waste.;Yes;Yes;Yes;Yes;Yes;;
CF1: Adjust to the pillars of the circular economy;CF1.1 The demonstrator must implement a recycling strategy.;CF1.1.2 The demonstrator must be aware of the environmental impact of the collection, sorting, storage and treatment of its waste.;Yes;Yes;Yes;Yes;Yes;;
CF1: Adjust to the pillars of the circular economy;CF1.1 The demonstrator must implement a recycling strategy.;CF1.1.3 The demonstrator must choose recycling technologies that preserve the mechanical properties of the materials.;;;;;Yes;Yes;
CF1: Adjust to the pillars of the circular economy;CF1.1 The demonstrator must implement a recycling strategy.;CF1.1.4 The demonstrator must be aware of the technological and organizational limits of the recycling system for its materials.;;;;;Yes;Yes;
CF1: Adjust to the pillars of the circular economy;CF1.1 The demonstrator must implement a recycling strategy.;CF1.1.5 The demonstrator must inform about the recyclable parts of its products and the associated recycling chains.;;;;;Yes;Yes;
CF1: Adjust to the pillars of the circular economy;CF1.2 The demonstrator must eco-design its products;CF1.2.1 The demonstrator must consider the entire life cycle of the product.;;;;;;;Yes
CF1: Adjust to the pillars of the circular economy;CF1.2 The demonstrator must eco-design its products;CF1.2.2 The demonstrator must consider the choice of materials;;;;;Yes;Yes;
CF1: Adjust to the pillars of the circular economy;CF1.2 The demonstrator must eco-design its products;CF1.2.3 The demonstrator must minimize the consumption of materials and energy;;;;;Yes;Yes;
CF1: Adjust to the pillars of the circular economy;CF1.2 The demonstrator must eco-design its products;CF1.2.5 The demonstrator must consider the choice of processes;Yes;Yes;Yes;Yes;Yes;;
CF1: Adjust to the pillars of the circular economy;CF1.3 The demonstrator must favour sustainable purchases and responsible consumption.;CF1.3.3 The demonstrator must inform users of the environmental impacts of the product.;;;;;;Yes;
