Criterion;Control;"Achieved objectives 
Yes: green
In part: orange
No: red";Pilot (Responsible);Allocated resources;Justification / comment;"Issue to achieve? 
If yes, please explain";Expected date of completion;Date of final completion;"Review by WP leader
Yes: green
In part: orange
No: red";Date of review;Comment
PF 1.5.4 The demonstrator must allow improve the prototype (WP2.2: 5_2_2 Determine corrective actions);Skills in Design for Additive Manufacturing and in Injection moulding design;Yes;"Benjamin / 
Fabio";"[15/12/2021]: For this task, it is needed a machine for creation of posible molds for the injection machine. In terms of competencies, the CAO and traslation of towards .DXF is needed.
- Design for Additive Manufacturing needs the knowledge on the fused granular process to know the parameters (Layer heigth, Extrudion factor, etc)  of printing product";"[15/12/2021]
THe use of software to translate the CAD file to the Gcode, can allow us to understand in a first hand the elements regarding the technical factibility of the printed part";NA;Feb-2022 or before (according proposal - see comment);NA;Yes;2021-12-15T00:00:00Z;Ok
PF 1.5.4 The demonstrator must allow improve the prototype (WP2.2: 5_2_2 Determine corrective actions);Communication of improvements to be made on the product;In part;"Benjamin / 
Fabio";"[15/12/2021]
- Inedit Plateform or ERP to be able to declare possible adjusments to do based on the protocol tests?
- Photo / or model sketch specifying the possible options.";"[15/12/2021]
From our side, changes in the CAD Model, changes in material can be proposed to improve the product";NA;Feb-2022 or before (according proposal - see comment);NA;In part;2022-01-21T00:00:00Z;"Pending validation of the platform
ok for justification"
PF 1.6.9 The demonstrator must allow the transfer of the customized production order to the suitable manufacturer (WP2.2: 6_4_2 Transmit the production order);Reception of a specific production order;No;Cristian / Benjamin;"[15/12/2021]
Specific plateform is still in development as far as we know";NA;[12/10/2021] This is not develped yet because there is not plateform to transfer the manufacturer;Feb-2022 or before (according proposal - see comment);NA;In part;2022-01-21T00:00:00Z;Pending validation of the platform
PF 3.1.2 The demonstrator must allow to validate that the manufacturing order is adapted to the activities carried out by the company (WP2.2: 7_2 Check the conformity of the order);Ability to assess the industrial feasibility of the product;Yes;"Benjamin
Fabio";"-Logiciel to see the STL [Superslicer/Repetier-Host]
- Competence to of the printability on software";[25/01/2022] Gigabot X: 8 hours of monitored printing per day, only PLA and PET for the moment in pellets format.;NA;Feb-2022 or before (according proposal - see comment);NA;Yes;2022-03-01T00:00:00Z;Ok
PF 3.1.2 The demonstrator must allow to validate that the manufacturing order is adapted to the activities carried out by the company (WP2.2: 7_2 Check the conformity of the order);Ability to validate whether the order is conformed;Yes;"Benjamin
Fabio";"- Software 3D Printing. 
-Definition of the materials to use";"[15/12/2021]Checking the characteristics of the file includes the following elements:
- Respect of the maximal sizes tha the printing machine can have (58X76X47 cm)
- Validation of a plane surface that the piece can be attached to the printed bed
- Validation of no internal holes where there is no posibilite to take off support material
- Validation of the type of material";NA;Feb-2022 or before (according proposal - see comment);NA;Yes;2021-12-07T00:00:00Z;Ok
PF 3.1.2 The demonstrator must allow to validate that the manufacturing order is adapted to the activities carried out by the company (WP2.2: 7_2 Check the conformity of the order);Validation of the order;No;"Benjamin
Fabio";"[15/12/2021] We (think) need:
- The order
- Identification of were is it?";-[20/10/2021]: The validation needs to be made with ERP or Plateform INEDIT?;NA;Feb-2022 or before (according proposal - see comment);NA;No;2022-05-02T00:00:00Z;"This requires that the platform is operational, we want to validate that the validation by partners is possible on the platform, it is to validate that the information flow ""validated order"" works"
PF3.2.1 The demonstrator must organise production considering product flows, deadlines and supplies (WP2.2: 8_1 Plan the production);Use of production planning tools;In part;"Benjamin
Cristian
Fabio";"There is no a specific tool yet to this element implemeneted inside the demostrator

Do the INEDIT plateform consider this?";"- [03/01/2022]: This task for UL needs to consider the following elements:
 - Numerical model STL that are according to the Printer limitations of the printed parts
- Quantity of the printed parts with its correspondance time of printing estimation (given by 3D printed software) 
- Analysis of the raw material available in the demostrator
- Estime the time to assembly and inspections validations

FabManager software that is in implementations inside LF2L can give some partial answers to the planning production eventualy.";NA;Feb-2022 or before (according proposal - see comment);NA;Yes;2021-01-04T00:00:00Z;"Ok, no tool but an explicited process to organize production

Do the INEDIT plateform consider this?"
PF3.2.1 The demonstrator must organise production considering product flows, deadlines and supplies (WP2.2: 8_1 Plan the production);Ability to plan production;In part;Benjamin;"[03/01/2022]
There is no a specific tool yet to this element implemeneted inside the demostrator

Do the INEDIT plateform consider this?";"[03/01/2022]
A dedicated plateform is not implemented yet However, we think that what is needed  for this task:
- The inputs cencerning the Printed parts need fo the week or month
- THe skills (use Gcode software) to estimate the complexity and the printing viability for a particular part.
- Visualization of the advancement of the projects to identify printing priorities in the plateform
";NA;Feb-2022 or before (according proposal - see comment);NA;Yes;2021-01-04T00:00:00Z;"Explicited process

Do the INEDIT plateform consider this?"
PF3.2.1 The demonstrator must organise production considering product flows, deadlines and supplies (WP2.2: 8_1 Plan the production);Production plan;In part;"Benjamin
Fabio";"[03/01/2022]
There is no a specific tool yet to this element implemeneted inside the demostrator

Do the INEDIT plateform consider this?";"[03/01/2022]
A dedicated plateform is not implemented yet However, we think that what is needed  for this task:
- The inputs cencerning the Printed parts need fo the week or month
- Visualization of the advancement of the projects to identify printing priorities in the plateform";NA;Feb-2022 or before (according proposal - see comment);NA;Yes;2021-01-04T00:00:00Z;"Ok


Do the INEDIT plateform consider this?"
PF3.2.3 The demonstrator must define the production process (WP2.2: 8_3 Define the modality of the product industrialization);Use of production planning tools;In part;Benjamin;"[03/01/2022]
There is no a specific tool yet to this element implemeneted inside the demostrator

Do the INEDIT plateform consider this?";"[03/01/2022]
The tools used so far are :
- Mail to exchange files and folders with the stakeholder
-  A repertory of printed files is maintained by Benjamin";NA;Feb-2022 or before (according proposal - see comment);NA;Yes;2021-01-04T00:00:00Z;"Explicited process

Do the INEDIT plateform consider this?"
PF3.2.3 The demonstrator must define the production process (WP2.2: 8_3 Define the modality of the product industrialization);Production management capacity;In part;Benjamin;"[03/01/2022]
There is no a specific tool yet to this element implemeneted inside the demostrator

Do the INEDIT plateform consider this?";"[03/01/2022]
- THe nature of the printing process made difficult to estimate the batches.
- Time of printing process max is 8h so far. THe process is not reliable to run without supervision .";NA;Feb-2022 or before (according proposal - see comment);NA;Yes;2021-01-04T00:00:00Z;Product-depending process, so estimation is difficult
PF3.2.3 The demonstrator must define the production process (WP2.2: 8_3 Define the modality of the product industrialization);Presence of production plan;In part;Benjamin;"[03/01/2022]
There is no a specific tool yet to this element implemeneted inside the demostrator

Do the INEDIT plateform consider this?";"[03/01/2022]
Today is not present this present. This is done by Benjamin with the technical insigths that he has.
However, to done this correctly, it is expected that:
- Each machine has a 'calendar' of utilization. 
- This calendar will enable the disponibility and the affectation of production acording to the requirements.
- Technical skills are needed to pilot and assure the correct funciton of the machines (GIgabot, Extruder, Shredding, Sheet plate, etc)";NA;Feb-2022 or before (according proposal - see comment);NA;Yes;2021-01-04T00:00:00Z;Explicited process for a company if necessary
PF3.2.3 The demonstrator must define the production process (WP2.2: 8_3 Define the modality of the product industrialization);Identification of the availability of production machines;Yes;Benjamin/Alex;[] USe of management tools as FabManager;"[03/01/2022] 
Un inventory of the machines is needed considering the operations that can be made.
software as FabManage is being implemented at LF2L";NA;Feb-2022 or before (according proposal - see comment);NA;Yes;2022-05-02T00:00:00Z;Ok
PF3.2.3 The demonstrator must define the production process (WP2.2: 8_3 Define the modality of the product industrialization);Identification of necessary resources (human and material);In part;Cristian / Benjamin;"[04/01/2022]
Idenify the elemnts from the experimentations concerning the:
- validation of machines
- skills required to make the total recycling on GF";"[03/01/2022]
Some insights were made at the level of LF2L. 
However, to the Green Fablab some insigths:
- The conceptual model of Cristian can give insigths about the project";NA;Feb-2022 or before (according proposal - see comment);NA;In part;2022-05-02T00:00:00Z;Ok, waiting for proofs
PF3.2.5 The demonstrator must allow to fit the product specification with industrialization process requirements (WP2.2: 8_5 Provide a technical assistance);List of corrective actions or suggestions for improvement;Yes;"Benjamin
Fabio";"[03/01/2021]
Metrology tools
- Temperature sensors";"[03/01/2022]
Some visual inspections to detect printing errors are required to validate if the printing process is correctly done. When printing part is finished, measurements and deviations from CAD models are first indicators to evidence corrective actions or sugestions.";NA;Feb-2022 or before (according proposal - see comment);NA;Yes;2021-01-04T00:00:00Z;Ok
PF3.2.5 The demonstrator must allow to fit the product specification with industrialization process requirements (WP2.2: 8_5 Provide a technical assistance);Transmission of nonconformity;In part;Fabio;"PC, software, internet,
- Camera photographie to present the issues";"[03/01/2021]
Based on the visual inspections and the measurements of the printed part, the transimisions of non-conformity can be done 
(Via INEDIT plateform if this block is develop?)";NA;Feb-2022 or before (according proposal - see comment);NA;In part;2022-05-02T00:00:00Z;Ok, waiting for the INEDIT platform
PF3.3.1 The demonstrator must allow to estimate the quantity of products, components, raw materials or packaging to purchase (WP2.2: 9_1 Define supply needs);Tools to assess the quantity of materials required;Yes;Benjamin;Software Super-slicer (https://github.com/supermerill/SuperSlicer);"[03/01/2021]
SuperSlicer is OS software to establish initial estimations of material quantity for printed";NA;Feb-2022 or before (according proposal - see comment);NA;Yes;2021-01-04T00:00:00Z;Ok
PF3.3.1 The demonstrator must allow to estimate the quantity of products, components, raw materials or packaging to purchase (WP2.2: 9_1 Define supply needs);Knowledge of inventory management;No;NA;Skills : Planning, production time control, prioritisation of requirements, quality control;[25/01/2022] : At the moment we have no production orders, and the production can be one-off as opposed to batch production.;NA;Feb-2022 or before (according proposal - see comment);NA;No;2022-05-02T00:00:00Z;What skills do you use to estimate the material needed
PF3.3.2 The demonstrator must allow to find suppliers able to provide components, raw materials or packaging according to the specifications (WP2.2: 9_2 Identify suppliers);Ability to select suppliers (materials, location, price, environmental impact, availability);In part;"Benjamin /
Fedoua";"[03/01/2022]
Catalog of the suppliers

";"[03/01/2021]
Public procurements procedure are the standard to select suppliers given the fact that UL is a university.
To select the suppliers, some skills are needed:
- Understand the technical/mecanical composant and to know the technical name to be able to find the correct market.
- Be able to identify key performance of the tehnical components (Power, Torque, Current,)
- Be able to make identify pertinent supplier and to  make correspondance of the need in function of the availability of suppliers' offer.

[04/01/2022]
- A voir avec Fedoua pour la partie de selection des collection de bouchons?";NA;Feb-2022 or before (according proposal - see comment);NA;In part;2022-05-02T00:00:00Z;Ok, information about plastic suppliers to validate
PF3.3.5 The demonstrator must allow receipt of proposals from suppliers (WP2.2: 9_5 Analyse the answer to the call for tenders);Knowledge of supplier expertise;Yes;Benjamin;NA;"[03/01/2022]
Validation of the following elements
- Prioritation of french supplier (to avoid aduana issues)
- Availability of the component
- Supplier accepted by the Public procurement procedure

";NA;Feb-2022 or before (according proposal - see comment);NA;Yes;2021-01-04T00:00:00Z;Ok
PF3.3.5 The demonstrator must allow receipt of proposals from suppliers (WP2.2: 9_5 Analyse the answer to the call for tenders);Tender analysis skills;Yes;Benjamin;Catalog of supplier;"[03/01/2022]
Delay of livraison as one major criteria";NA;Feb-2022 or before (according proposal - see comment);NA;Yes;2021-01-04T00:00:00Z;Ok
PF3.3.8 The demonstrator must validate the order launch according to the established specification and the contract (WP2.2: 9_8 Trigger the order);Receive the order;No;NA;"[03/01/2022]
- INEDIT plateform?";"[03/01/2022]
- Waiting to use INEDIT plateform";NA;Feb-2022 or before (according proposal - see comment);NA;No;2022-05-02T00:00:00Z;waiting for the development of the platform
PF3.3.8 The demonstrator must validate the order launch according to the established specification and the contract (WP2.2: 9_8 Trigger the order);Validate the order on the platform;No;NA;"[03/01/2022]
- INEDIT plateform?";"[03/01/2022]
- Waiting to use INEDIT plateform";NA;Feb-2022 or before (according proposal - see comment);NA;No;2022-05-02T00:00:00Z;waiting for the development of the platform
PF3.3.9 The demonstrator must allow the traceability of the order (WP2.2: 9_9 Track and monitor the order);Communication of the order information progress;No;NA;"[03/01/2022]
- INEDIT plateform?";"[03/01/2022]
- Waiting to use INEDIT plateform";NA;NA;NA;No;2022-05-02T00:00:00Z;waiting for the development of the platform
PF3.4.1 The demonstrator must validate that the specification fits with the manufacturing process (WP2.2: 10_1 Check the feasibility of the specification);Presence of CAD software;Yes;NA;NA;"[03/01/2022]
Onshape is main CAD software at the demostrator";NA;NA;NA;Yes;2021-01-04T00:00:00Z;Ok
PF3.4.1 The demonstrator must validate that the specification fits with the manufacturing process (WP2.2: 10_1 Check the feasibility of the specification);Skills in CAD knowledge;Yes;Benjamin;PC, software, internet;"[03/01/2022]
Onshape is main CAD software at the demostrator:
- Creation of 3D models using.
- Creation of technical drawing to specify the dimensions and eventually the manufacutring presence.";NA;NA;NA;Yes;2021-01-04T00:00:00Z;Ok
PF3.4.1 The demonstrator must validate that the specification fits with the manufacturing process (WP2.2: 10_1 Check the feasibility of the specification);Knowledge in Software machine parameters;Yes;Benjamin;NA;[25/01/2022]: All print parameters are controlled in the software. The main ones to be taken into account are cooling level, material deposition speed, layer height, print filling.;NA;NA;NA;Yes;2022-01-31T00:00:00Z;Ok
PF3.4.1 The demonstrator must validate that the specification fits with the manufacturing process (WP2.2: 10_1 Check the feasibility of the specification);Validation of the feasibility on its machines;In part;Crsitian;PC, software, internet, experience plan;[25/01/2022] Gigabot X: Test prints are made to check the capacity of the machine and the setting of the parameters.;NA;NA;NA;Yes;2022-02-01T00:00:00Z;Ok
PF3.4.1 The demonstrator must validate that the specification fits with the manufacturing process (WP2.2: 10_1 Check the feasibility of the specification);Feasibility transmission on the platform;No;Crsitian;NA;"[03/01/2022]
- up to date, No conection with INEDIT plateform";NA;NA;NA;No;2022-05-02T00:00:00Z;waiting for the development of the platform
PF3.4.2 The demonstrator must allow to fit the product specification with industrialization process requirements (WP2.2: 10_2 Provide a technical assistance);CAD software;Yes;Cristian;NA;"[04/01/2022]
Not software associated to Industrialization
- Software of diagnosis CAD to validate the STL model.
- Benjamin looks for consistency of STL model, using Superslicer and Repetier-Host
";NA;NA;NA;In part;2022-05-02T00:00:00Z;To complete
PF3.4.2 The demonstrator must allow to fit the product specification with industrialization process requirements (WP2.2: 10_2 Provide a technical assistance);Modelling, production and design skills;Yes;Benjamin / Fabio/Cristian;PC, software, internet;Experts in CAO,CAD, 3D Printing, injection moulding, waste Plastic. We have the possibily to help in any of this domaines.;"[03/01/2022]
- Not clear on this one";NA;NA;No;2022-05-02T00:00:00Z;provide details, can you precise the skills as well as possible ?
PF3.4.2 The demonstrator must allow to fit the product specification with industrialization process requirements (WP2.2: 10_2 Provide a technical assistance);Report of improvement suggestions;NA;Crsitian;NA;"[03/01/2022]
- up to date, No conection with INEDIT plateform";NA;NA;NA;No;2022-05-02T00:00:00Z;waiting for the development of the platform
PF3.4.3 The demonstrator must allow to choose the suitable manufacturing and assembly operations from the instructions (drawings, bill of material...) (WP2.2: 10_3 Identify the manufacturing operations);Production management skills;In part;Crsitian;NA;NA;"[03/01/2022]
- Do GF make apointments on the assembly production?";NA;NA;No;2022-05-02T00:00:00Z;even if you are a research center, can you precise the skills as well as possible to produce small lots ?
PF3.4.3 The demonstrator must allow to choose the suitable manufacturing and assembly operations from the instructions (drawings, bill of material...) (WP2.2: 10_3 Identify the manufacturing operations);Manufacturing instructions;No;Crsitian;NA;NA;NA;NA;NA;No;2022-05-02T00:00:00Z;What guidelines do you follow to produce the application from the platform
PF3.4.3 The demonstrator must allow to choose the suitable manufacturing and assembly operations from the instructions (drawings, bill of material...) (WP2.2: 10_3 Identify the manufacturing operations);Presence of design files, bills of materials, product specification and manufacturing plan;NA;Crsitian;NA;NA;NA;NA;NA;No;2022-05-02T00:00:00Z;waiting for the development of the platform.  But one part is provided by the platform and the other by you. What is done by your structure must be formalized in order to feed the platform
PF3.4.4 The demonstrator must define the suitable amount of quantity or raw materials (WP2.2: 10_4 Select materials and components for manufacturing);Use of Shredding machine and cleaning operations;In part;Cristian/ Alexandre;Shredder: RETSCH 300;[26/01/2022] We start a regrind process and evaluate the regrind quality against the levels required for 3D printing and/or Injection moulding.;At the moment we are developing the washing stage.;NA;NA;In part;2022-05-02T00:00:00Z;provide details , can you precise the software used please ?
PF3.4.4 The demonstrator must define the suitable amount of quantity or raw materials (WP2.2: 10_4 Select materials and components for manufacturing);CAD and Software machine parameters knowledge;Yes;Benjamin;CAD software: Onshape      Machine Controller: Repetier-Host;[26/01/2022] Experiential tests were carried out to establish the parameters. Speed, temperature, dimensions and material type.;NA;NA;NA;In part;2022-05-02T00:00:00Z;Which parameters ?
PF3.4.4 The demonstrator must define the suitable amount of quantity or raw materials (WP2.2: 10_4 Select materials and components for manufacturing);Skills in manufacturing tuning;NA;Crsitian;NA;NA;NA;NA;NA;No;2022-05-02T00:00:00Z;provide details, can you precise the skills as well as possible ?
PF3.4.4 The demonstrator must define the suitable amount of quantity or raw materials (WP2.2: 10_4 Select materials and components for manufacturing);Sampling tools;Yes;Cristian/ Alexandre;Shredder, Cleaning machine, Extruder.;[26/01/2022] Material should be collected, sorted by material, condition and colour. Cleaning phase if necessary. Crushing, extrusion and pelletising before printing.;At the moment we are developing the washing stage.;NA;NA;Yes;2022-01-31T00:00:00Z;Ok
PF3.4.4 The demonstrator must define the suitable amount of quantity or raw materials (WP2.2: 10_4 Select materials and components for manufacturing);Manufacturing plan and bill of materials;No;Crsitian;NA;[26/01/2022] Up to now, we haven't manufacturing plan. We look forward to the operation of the platform.;NA;NA;NA;No;2022-05-02T00:00:00Z;provide details, an example ou more information about manufacturing plan anf bill of materials
PF 3.4.5 The demonstrator must prepare the quantity of materials required for the manufacturing (WP2.2: 10_5 Build up the stock of raw materials and components);Materials and components for manufacturing;Yes;Fabio / Benjamin;NA;[26/01/2022] 3D printing: PLA ,PET and PP                                         Injection moulding: PHDE, PLA, PP, other plastics.;NA;NA;NA;Yes;2022-01-31T00:00:00Z;Ok
PF 3.4.5 The demonstrator must prepare the quantity of materials required for the manufacturing (WP2.2: 10_5 Build up the stock of raw materials and components);Handling and sampling equipment;Yes;NA;industrial Tweezers, Cutting plier;There are terminations that need to be done manually and mainly cutting tools are used.;NA;NA;NA;In part;2022-05-02T00:00:00Z;provide details , can you precise the equipment used please ?
PF3.4.6 The demonstrator must lead to the desired product (WP2.2: 10_6 Manufacture the product/component);Use and mastery of 3D printer, Manual Injection machine, Laser-cut and Software Modelling;Yes;Cristian / Benjamin;NA;[26/01/2022] 3D Printer: Gigabot X XL/ Injection moulding: Holipress and sheet press (Precius plastic version) Software modelling: Onshape/ STL visualisation: Superlicer/Gigabot Controller: Repetier-Host.;Realisation of experience plan;NA;NA;Yes;2022-01-31T00:00:00Z;ok
PF3.4.6 The demonstrator must lead to the desired product (WP2.2: 10_6 Manufacture the product/component);Skills in 3D and 2D Modelling and parameters tuning;Yes;Cristian / Benjamin;NA;Development de desing, knowladge of different modelling software, Knowladge of 3D printer and plastic behavior.;NA;NA;NA;In part;2022-05-02T00:00:00Z;provide details, can you precise the skills as well as possible ?
PF3.4.6 The demonstrator must lead to the desired product (WP2.2: 10_6 Manufacture the product/component);Materials and components;Yes;Cristian / Benjamin;NA;[26/01/2022] 3D printing: PLA ,PET and PP                                         Injection moulding: PHDE, PLA, PP, other plastics.;NA;NA;NA;Yes;2022-01-31T00:00:00Z;Ok
PF3.4.6 The demonstrator must lead to the desired product (WP2.2: 10_6 Manufacture the product/component);Manufactured product;Yes;Cristian / Benjamin;NA;[26/01/2022] All types of products that can be modelled.;NA;NA;NA;Yes;2022-01-31T00:00:00Z;Ok
PF3.4.7 The demonstrator must refine the product obtained (WP2.2: 10_7 Carry out the finishes of a work);Manufactured product;Yes;Alexandre;NA;[26/01/2022] All types of products that can be modelled.;NA;NA;NA;Yes;2022-01-31T00:00:00Z;Ok
PF3.4.7 The demonstrator must refine the product obtained (WP2.2: 10_7 Carry out the finishes of a work);Use of cutter, sandpapers, small knife, rotatory tools;Yes;Alexandre;NA;[26/01/2022] 3D printing almost always leaves plastic residues that need to be removed. This is done manually using tweezers, small cutting pliers and sandpaper.;NA;NA;NA;Yes;2022-01-30T00:00:00Z;Ok
PF3.4.7 The demonstrator must refine the product obtained (WP2.2: 10_7 Carry out the finishes of a work);Manufacturing skills (manual skills) for finishing;Yes;Alexandre;NA;[26/01/2022] 3D printing almost always leaves plastic residues that need to be removed. This is done manually using tweezers, small cutting pliers and sandpaper.;NA;NA;NA;Yes;2022-01-31T00:00:00Z;Ok
PF3.4.8 The demonstrator must validate that the product perfectly fit with the specification (WP2.2: 10_8 Check the stability and the dimension of the product);Use of metrology tools;Yes;Alexandre;NA;NA;NA;NA;NA;In part;2022-05-02T00:00:00Z;provide details, can you precise how you use these tools for validating this control  ?
PF3.4.8 The demonstrator must validate that the product perfectly fit with the specification (WP2.2: 10_8 Check the stability and the dimension of the product);"Skills in metrology and analysis
data";Yes;Alexandre;NA;NA;NA;NA;NA;In part;2022-05-02T00:00:00Z;provide details, can you precise the skills as well as possible ? (like a job description)
PF3.4.8 The demonstrator must validate that the product perfectly fit with the specification (WP2.2: 10_8 Check the stability and the dimension of the product);Presence of manufacturing plan;Yes;"Benjamin
Fabio";NA;NA;NA;NA;NA;In part;2022-05-02T00:00:00Z;add details
PF3.4.8 The demonstrator must validate that the product perfectly fit with the specification (WP2.2: 10_8 Check the stability and the dimension of the product);Presence of the manufactured product;Yes;Alexandre;NA;NA;NA;NA;NA;In part;2022-05-02T00:00:00Z;At a moment of the project, we have to validate if the obtained product fits with the order. so we need the previous step to be validated to validate this step
